0,	13
0,	14
0,	15
1,	16
1,	17
0,	18
1,	19
0,	20
1,	21
1,	22
1,	23
1,	24
0,	25
1,	26
0,	27
1,	28
0,	29
1,	30
1,	31
1,	32
1,	33
0,	34
0,	35
0,	36
1,	37
1,	38
0,	39
1,	40
0,	41
0,	42
0,	43
1,	44
1,	45
0,	46
1,	47
0,	48
0,	49
0,	50
1,	51
1,	52
0,	53
1,	54
1,	60
0,	61
0,	62
0,	63
0,	64
1,	65
0,	66
1,	67
1,	68
1,	69
0,	70
0,	71
1,	72
0,	73
1,	74
1,	75
0,	76
1,	77
1,	78
0,	79
0,	80
1,	81
0,	82
0,	83
1,	84
1,	85
1,	86
0,	87
1,	88
0,	89
1,	90
0,	91
0,	92
0,	93
0,	94
1,	95
0,	96
0,	97
0,	98
0,	99
1,	100
0,	101
